step,loss
0,4.266116142272949
50,0.9749699831008911
100,2.777723789215088
150,0.5883834958076477
200,2.815713405609131
250,2.646420478820801
300,2.428001880645752
350,0.494409441947937
400,2.472792148590088
450,2.7883012294769287
500,2.926013946533203
550,0.6115997433662415
600,2.9791946411132812
650,3.0794193744659424
700,2.8533260822296143
750,2.8066117763519287
800,2.6893703937530518
850,2.4440860748291016
900,2.4027512073516846
950,2.3882484436035156
1000,2.4444117546081543
1050,2.7563068866729736
1100,2.437751531600952
1150,2.746713161468506
1200,2.4703073501586914
1250,2.536217212677002
1300,2.597653388977051
1350,2.529167652130127
1400,2.2964107990264893
1450,2.6908645629882812
1500,2.5586466789245605
1550,2.3810911178588867
1600,2.518124580383301
1650,2.513230323791504
1700,1.441977620124817
1750,2.570887804031372
1800,1.2065757513046265
1850,2.4545061588287354
1900,2.338876485824585
1950,2.3415584564208984
2000,2.617722988128662
2050,2.501246452331543
2100,1.6376179456710815
2150,2.7400903701782227
2200,2.1517562866210938
2250,0.34114575386047363
2300,2.542987108230591
2350,2.643153429031372
2400,2.2744369506835938
2450,2.7242438793182373
