step,loss
0,4.363917350769043
50,1.1520072221755981
100,2.73034405708313
150,0.9927684664726257
200,2.8486979007720947
250,2.6601791381835938
300,2.442166328430176
350,0.36403653025627136
400,2.393066167831421
450,2.850928783416748
500,2.6394548416137695
550,0.3267323970794678
600,2.9033994674682617
650,2.9919869899749756
700,2.585813045501709
750,2.915698289871216
800,2.6921026706695557
850,2.467294454574585
900,2.3955862522125244
950,2.2908763885498047
1000,2.472776174545288
1050,2.7046103477478027
1100,2.578894853591919
1150,2.8015289306640625
1200,2.453953504562378
1250,2.5978662967681885
1300,2.5834598541259766
1350,2.6494927406311035
1400,2.3125743865966797
1450,2.657593011856079
1500,2.657005786895752
1550,2.376331090927124
1600,2.554509162902832
1650,2.4166972637176514
1700,1.3936984539031982
1750,2.637770652770996
1800,0.86143958568573
1850,2.437863826751709
1900,2.4425156116485596
1950,2.4019289016723633
2000,2.6519558429718018
2050,2.4685401916503906
2100,0.9855563044548035
2150,2.733656644821167
2200,2.112868547439575
2250,0.22889256477355957
2300,2.5558362007141113
2350,2.942958116531372
2400,2.44773530960083
2450,2.7570595741271973
