step,loss
0,3.294743299484253
20,3.206650972366333
40,2.9997153282165527
60,2.827526330947876
80,2.8405513763427734
100,3.0399322509765625
120,2.846269369125366
140,2.527407169342041
160,2.5262646675109863
180,2.5059967041015625
200,3.0461761951446533
220,2.245938777923584
240,3.231851100921631
260,2.707458972930908
280,2.921204090118408
300,1.7864644527435303
320,2.0068984031677246
340,2.4910030364990234
360,2.7088499069213867
380,2.014601707458496
400,2.425328016281128
420,2.1850311756134033
440,2.492462158203125
460,2.3236122131347656
480,2.786705732345581
500,2.0393731594085693
520,2.4799695014953613
540,1.986628770828247
560,1.885583758354187
580,1.884179711341858
600,2.494567632675171
620,3.064785957336426
640,2.6270711421966553
660,3.1731016635894775
680,1.4342219829559326
700,1.7503632307052612
720,1.8280085325241089
740,1.5344380140304565
760,2.453113079071045
780,1.9297592639923096
800,2.0720512866973877
820,1.827680230140686
840,2.1590850353240967
860,1.984399437904358
880,2.46966290473938
900,3.0564496517181396
920,2.052003860473633
940,2.0331242084503174
960,2.01462984085083
980,2.851628541946411
