step,loss
0,3.294743299484253
20,3.203843593597412
40,2.989736795425415
60,2.8401246070861816
80,2.8453421592712402
100,3.0321125984191895
120,2.8691844940185547
140,2.5235071182250977
160,2.5403480529785156
180,2.5245020389556885
200,2.99322772026062
220,2.2503232955932617
240,3.1409995555877686
260,2.696723222732544
280,2.961789608001709
300,1.7548608779907227
320,2.0183799266815186
340,2.48246169090271
360,2.72507643699646
380,2.0041370391845703
400,2.494157075881958
420,2.2133617401123047
440,2.481330394744873
460,2.315491199493408
480,2.7377777099609375
500,2.050729513168335
520,2.5191638469696045
540,1.971128225326538
560,1.938385009765625
580,1.8437446355819702
600,2.5177557468414307
620,2.99484920501709
640,2.4944465160369873
660,3.22267484664917
680,1.4395720958709717
700,1.7444077730178833
720,1.9213899374008179
740,1.5545713901519775
760,2.531511068344116
780,1.9663077592849731
800,2.098431348800659
820,1.8601411581039429
840,2.223576784133911
860,1.926944375038147
880,2.4692275524139404
900,3.0633039474487305
920,2.0371601581573486
940,2.0644569396972656
960,1.9993265867233276
980,2.7638862133026123
