step,loss
0,4.171872615814209
20,4.006635665893555
40,3.8846662044525146
60,3.620537757873535
80,3.4635868072509766
100,3.4504828453063965
120,3.1507434844970703
140,3.1078052520751953
160,3.0476443767547607
180,3.0964062213897705
200,3.081911563873291
220,2.932670831680298
240,3.0453667640686035
260,2.9758567810058594
280,3.006078004837036
300,2.757476329803467
320,3.013005256652832
340,2.380180835723877
360,2.5145957469940186
380,2.8672008514404297
400,2.73291015625
420,2.870901346206665
440,2.8443350791931152
460,2.640869617462158
480,2.655299186706543
500,2.9848899841308594
520,3.2918379306793213
540,2.6168694496154785
560,1.2707840204238892
580,1.0762321949005127
600,2.9648690223693848
620,3.202800989151001
640,2.4481568336486816
660,2.8964645862579346
680,3.0216586589813232
700,2.710496664047241
720,1.0898852348327637
740,2.5180373191833496
760,2.888009548187256
780,2.326991319656372
800,3.036907196044922
820,2.5251805782318115
840,2.5991809368133545
860,2.486877918243408
880,2.5458827018737793
900,2.846527576446533
920,1.0801584720611572
940,2.5849123001098633
960,0.5968828201293945
980,2.1622002124786377
