step,baseline_loss,pga_loss
0,4.171872615814209,4.171323776245117
20,4.006635665893555,4.019688606262207
40,3.884666204452514,3.888415813446045
60,3.620537757873535,3.632405042648315
80,3.463586807250977,3.463757276535034
100,3.4504828453063965,3.4549484252929688
120,3.1507434844970703,3.1534793376922607
140,3.1078052520751958,3.1146938800811768
160,3.0476443767547607,3.023260593414306
180,3.0964062213897705,3.1489741802215576
200,3.081911563873291,3.045102596282959
220,2.932670831680298,2.990068197250366
240,3.0453667640686035,3.016868352890014
260,2.97585678100586,2.972168445587158
280,3.006078004837036,3.025702714920044
300,2.757476329803467,2.7939610481262207
320,3.013005256652832,3.025017738342285
340,2.380180835723877,2.5411832332611084
360,2.5145957469940186,2.5498275756835938
380,2.8672008514404297,2.8846535682678223
400,2.73291015625,2.8335540294647217
420,2.870901346206665,2.8604743480682373
440,2.8443350791931152,3.0934948921203613
460,2.640869617462158,2.6648595333099365
480,2.655299186706543,2.623429298400879
500,2.98488998413086,3.0458569526672363
520,3.2918379306793213,3.3829917907714844
540,2.6168694496154785,2.6492950916290283
560,1.2707840204238892,1.370874047279358
580,1.0762321949005127,1.167452096939087
600,2.9648690223693848,3.0652570724487305
620,3.202800989151001,3.0035433769226074
640,2.4481568336486816,2.424102067947388
660,2.8964645862579346,2.8839831352233887
680,3.0216586589813232,2.9883437156677246
700,2.710496664047241,2.7813236713409424
720,1.0898852348327637,1.0447704792022705
740,2.5180373191833496,2.5058348178863525
760,2.888009548187256,2.9668221473693848
780,2.326991319656372,2.420633316040039
800,3.036907196044922,3.09960412979126
820,2.5251805782318115,2.527323007583618
840,2.5991809368133545,2.567797899246216
860,2.486877918243408,2.4734458923339844
880,2.5458827018737797,2.528296947479248
900,2.846527576446533,2.868919134140014
920,1.0801584720611572,0.9645845890045166
940,2.5849123001098637,2.61662220954895
960,0.5968828201293945,0.5543190240859985
980,2.1622002124786377,2.239377975463867
