step,loss
0,4.268239498138428
20,3.305189371109009
40,3.166370391845703
60,3.1060678958892822
80,3.0297210216522217
100,2.7946360111236572
120,2.630782127380371
140,2.3553974628448486
160,2.442798137664795
180,2.5523128509521484
200,2.8996615409851074
220,2.6459646224975586
240,2.5559680461883545
260,2.5152957439422607
280,2.6545045375823975
300,2.2287302017211914
320,2.8481576442718506
340,1.2871274948120117
360,2.3044893741607666
380,2.6509945392608643
400,2.4952430725097656
420,2.564615249633789
440,2.659351348876953
460,2.52247953414917
480,2.5031540393829346
500,2.1952168941497803
520,3.2044408321380615
540,2.5404114723205566
560,0.2115638703107834
580,0.269319087266922
600,2.921894073486328
620,3.069101572036743
640,2.270643711090088
660,2.6263391971588135
680,2.876718521118164
700,2.778829574584961
720,0.5231406092643738
740,2.4196619987487793
760,2.6883928775787354
780,2.3902978897094727
800,3.078301191329956
820,2.4219326972961426
840,2.471806049346924
860,2.3810229301452637
880,2.501551389694214
900,2.57293438911438
920,0.6516998410224915
940,2.342393398284912
960,0.3403049409389496
980,2.127194404602051
