step,loss
0,4.222397327423096
20,3.1615841388702393
40,3.2549362182617188
60,2.86063814163208
80,3.057985782623291
100,2.8285961151123047
120,2.6357643604278564
140,2.6328697204589844
160,2.6016368865966797
180,2.5792460441589355
200,2.7771759033203125
220,2.616400718688965
240,2.500802755355835
260,2.705195665359497
280,2.644883871078491
300,2.205406904220581
320,2.7653708457946777
340,1.140008807182312
360,2.30787992477417
380,2.6232993602752686
400,2.4507925510406494
420,2.504157066345215
440,2.4730725288391113
460,2.459796190261841
480,2.452061414718628
500,2.7673380374908447
520,3.383227825164795
540,2.5871317386627197
560,0.19883398711681366
580,0.27352288365364075
600,2.6565449237823486
620,2.91147780418396
640,2.099965810775757
660,2.6414177417755127
680,3.3409981727600098
700,2.7969248294830322
720,0.5385121703147888
740,2.4060792922973633
760,2.753901720046997
780,2.322188138961792
800,2.86592435836792
820,2.3175296783447266
840,2.470956325531006
860,2.533245801925659
880,2.3582353591918945
900,2.595831871032715
920,0.5584472417831421
940,2.5619051456451416
960,0.31499582529067993
980,2.2020201683044434
1000,2.127577543258667
1020,0.505578875541687
1040,1.913644552230835
1060,2.4842588901519775
1080,3.345334529876709
1100,2.363666296005249
1120,0.2464025318622589
1140,2.1025960445404053
1160,2.1319828033447266
1180,2.5233898162841797
1200,3.0963237285614014
1220,2.420459508895874
1240,0.3906451165676117
1260,0.2364414632320404
1280,0.30044811964035034
1300,2.494065761566162
1320,0.9173736572265625
1340,3.426957845687866
1360,2.7317914962768555
1380,2.2752840518951416
1400,2.251095771789551
1420,2.696742296218872
1440,2.4076719284057617
1460,2.764143228530884
1480,3.309077262878418
1500,2.6023166179656982
1520,2.62255859375
1540,1.8894705772399902
1560,0.3722822070121765
1580,2.354173421859741
1600,2.143010139465332
1620,2.6479787826538086
1640,2.5686607360839844
1660,2.232591390609741
1680,2.0884296894073486
1700,1.678986668586731
1720,2.171104669570923
1740,2.0640835762023926
1760,0.30067989230155945
1780,2.8675217628479004
1800,0.9158080816268921
1820,2.9620606899261475
1840,1.8178397417068481
1860,2.8748908042907715
1880,2.186098337173462
1900,2.5731046199798584
1920,2.0176775455474854
1940,2.1806459426879883
1960,2.4626903533935547
1980,1.2730624675750732
2000,2.471780300140381
2020,2.699312925338745
2040,3.363201856613159
2060,2.3761770725250244
2080,2.262178897857666
2100,1.3232110738754272
2120,1.936149001121521
2140,2.2161405086517334
2160,1.96329927444458
2180,2.4279427528381348
2200,2.1370956897735596
2220,2.3446967601776123
2240,2.3396012783050537
2260,0.6597810983657837
2280,1.8934730291366577
2300,2.280888557434082
2320,1.5275095701217651
2340,0.31689754128456116
2360,2.641754388809204
2380,1.9946322441101074
2400,2.396223545074463
2420,0.32455652952194214
2440,2.5234813690185547
2460,2.622992992401123
2480,2.0210912227630615
