step,loss
0,4.222397327423096
20,3.1615841388702393
40,3.2549362182617188
60,2.86063814163208
80,3.057985782623291
100,2.8285961151123047
120,2.6357643604278564
140,2.6328697204589844
160,2.6016368865966797
180,2.5792460441589355
200,2.7771759033203125
220,2.616400718688965
240,2.500802755355835
260,2.705195665359497
280,2.644883871078491
300,2.205406904220581
320,2.7653708457946777
340,1.140008807182312
360,2.30787992477417
380,2.6232993602752686
400,2.4507925510406494
420,2.504157066345215
440,2.4730725288391113
460,2.459796190261841
480,2.452061414718628
500,2.7673380374908447
520,3.383227825164795
540,2.5871317386627197
560,0.19883398711681366
580,0.27352288365364075
600,2.6565449237823486
620,2.91147780418396
640,2.099965810775757
660,2.6414177417755127
680,3.3409981727600098
700,2.7969248294830322
720,0.5385121703147888
740,2.4060792922973633
760,2.753901720046997
780,2.322188138961792
800,2.86592435836792
820,2.3175296783447266
840,2.470956325531006
860,2.533245801925659
880,2.3582353591918945
900,2.595831871032715
920,0.5584472417831421
940,2.5619051456451416
960,0.31499582529067993
980,2.2020201683044434
