step,train_loss,val_loss,essence_norm,proj_mag
0,4.1704206466674805,4.1666748046875,1.000000238418579,0.0
50,3.7356619834899902,3.884745407104492,1.0000001192092896,0.0
100,3.5492281913757324,3.717572832107544,0.9999995827674866,0.0
150,3.46044921875,3.553526449203491,1.0000001192092896,0.0
200,2.9807982444763184,3.455629062652588,0.9999997615814209,0.0
250,3.6379950046539307,3.333374357223511,0.9999998807907104,0.0
300,3.263491153717041,3.219359111785889,1.0000001192092896,0.0
350,3.0460808277130127,3.127463388442993,0.9999997615814209,0.0
400,2.7858057022094727,3.045001268386841,0.9999998211860657,0.0
450,2.7027082443237305,3.0583981037139893,1.0,0.0
500,2.5875024795532227,2.9691818237304686,1.0000001192092896,0.0
550,3.229689836502075,2.891558599472046,0.9999997615814209,0.0
600,2.7255024909973145,2.9267461776733397,1.000000238418579,0.0
650,3.0798184871673584,2.8294395923614504,0.9999999403953552,0.0
700,2.8637678623199463,2.8437727451324464,0.9999998211860657,0.0
750,2.7457079887390137,2.8704230785369873,0.9999999403953552,0.0
800,2.73799204826355,2.982820510864258,1.0,0.0
850,3.343182325363159,2.8895482063293456,1.0,0.0
900,2.524299144744873,2.852388525009155,1.0000001192092896,0.0
950,2.858952522277832,2.6947834968566893,1.0000001192092896,0.0
